Comp;CompName;OSample;RT;Area
P103.02;Benzonitrile;2;8.302;4479
P091.03;Benzeneacetaldehyde;2;9.79;4647
P069.09;1-Methyl-2-(3-methylpentyl)cyclopropane;2;10.509;15371
P057.24;2,2-Dimethyldecane;2;11.557;48679
P057.43;Pentanedecanitrile;2;23.86;16080
P043.06.47;Unidentified compound 22;2;28.675;4976
P103.02;Benzonitrile;3;8.269;3296
P091.03;Benzeneacetaldehyde;3;9.741;6298
P069.13;Unidentified compound 10;3;11.423;7510
P057.24;2,2-Dimethyldecane;3;11.509;45091
P069.16;Nonylcyclopropane;3;12.946;71029
P057.35;2,2-Dimethyltetradecane;3;19.196;1169557
P043.06.25;Unidentified compound 13;4;16.711;139146
P059.05;2-Methyldodecan-2-ol;4;17.692;133442
P059.07;Unknown branched alcohol;4;21.209;375590
P057.01;Methyl propanoate;5;2.477;48191
P103.02;Benzonitrile;5;8.268;4058
P091.03;Benzeneacetaldehyde;5;9.743;5717
P057.22;Nonanal;5;11.189;33184
P105.03;Unknown benzene derivative 2;5;12.444;1713
P069.16;Nonylcyclopropane;5;12.942;80445
P057.35;2,2-Dimethyltetradecane;5;19.2;1864574
P069.09;1-Methyl-2-(3-methylpentyl)cyclopropane;6;10.572;6198
P057.22;Nonanal;6;11.253;209831
P060.05;Octanoic acid;6;12.372;10514
P073.11;Pentadecanoic acid;6;23.84;2024449
P071.01;Unidentified compound 01;7;2.87;53632
P060.02;Butanoic acid;7;4.625;486234
P059.05;2-Methyldodecan-2-ol;7;17.662;119651
P057.35;2,2-Dimethyltetradecane;7;19.204;792499
P121.02;Unidentified compound 15;7;19.387;14478
P059.07;Unknown branched alcohol;7;21.176;158747
P060.02;Butanoic acid;9;4.631;2751568
P103.02;Benzonitrile;9;8.307;8929
P091.03;Benzeneacetaldehyde;9;9.795;3811
P059.05;2-Methyldodecan-2-ol;9;17.692;79711
P043.06.32;Unidentified compound 16;9;20.767;43310
P059.07;Unknown branched alcohol;9;21.202;99609
P055.28;Unidentified compound 18;9;22.206;13610
P103.02;Benzonitrile;10;8.325;1381
P091.03;Benzeneacetaldehyde;10;9.783;4260
P057.24;2,2-Dimethyldecane;10;11.553;70578
P057.43;Pentanedecanitrile;10;23.858;92593
P043.06.47;Unidentified compound 22;10;28.681;10780
P103.02;Benzonitrile;11;8.274;1375
P091.03;Benzeneacetaldehyde;11;9.752;6562
P069.09;1-Methyl-2-(3-methylpentyl)cyclopropane;11;10.47;8927
P069.16;Nonylcyclopropane;11;12.955;39419
P057.35;2,2-Dimethyltetradecane;11;19.206;1592569
P057.36;Tridecan-1-ol;11;20.227;29560
P057.01;Methyl propanoate;13;2.49;22567
P091.03;Benzeneacetaldehyde;13;9.763;7689
P057.24;2,2-Dimethyldecane;13;11.591;14491
P060.05;Octanoic acid;13;12.465;18090
P069.16;Nonylcyclopropane;13;12.961;43987
P057.35;2,2-Dimethyltetradecane;13;19.216;1713741
P059.07;Unknown branched alcohol;13;21.186;8284
P071.01;Unidentified compound 01;15;2.889;39263
P070.02;Unidentified compound 09;15;11.334;427509
P069.16;Nonylcyclopropane;15;12.963;154398
P059.05;2-Methyldodecan-2-ol;15;17.667;182552
P057.35;2,2-Dimethyltetradecane;15;19.215;830684
P059.07;Unknown branched alcohol;15;21.183;391175
P057.28;3,5-Dimethylundecane;17;13.424;3842
