Sample;UniqueID;OSample;Year;AnimalID;Date;Capture;Species;Group;Indiv
FPI038254;3535_2024;32231;2024;ID3535;2024-06-13;2024_05;TIMP;IC;SIMP_2024_IC4_4M
FPI038259;3538_2024;32233;2024;ID3538;2024-06-14;2024_06;LWED;GP;LWED_2024_GP_4M
FPI038343;3534_2024;32232;2024;ID3534;2024-06-13;2024_05;TIMP;IC;SIMP_2024_IC4_4F
FPI038351;3541_2024;32229;2024;ID3541;2024-06-19;2024_08;LWED;WF;LWED_2024_WF_4M
FPI038459;3549_2024;32197;2024;ID3549;2024-07-08;2024_14;TIMP;MI;SIMP_2024_MI4_4M
FPI038462;3536_2024;32254;2024;ID3536;2024-06-05;2024_01;LWED;IL;LWED_2024_IL_4M
FPI038765;3543_2024;32199;2024;ID3543;2024-06-24;2024_12;TIMP;YM;SIMP_2024_YM_4M
FPI038766;3537_2024;32250;2024;ID3537;2024-06-05;2024_01;LWED;IL;LWED_2024_IL_4F
FPI14656;1338_2022;17;2022;ID1338;2022-06-14;2022_04;LWED;SS;4F
FPI14710;1341_2022;46;2022;ID1341;2022-06-24;2022_08;TIMP;IC;4M
FPI16174;1330_2022;4;2022;ID1330;2022-06-04;2022_01;LWED;IL;4F
FPI16201;1342_2022;56;2022;ID1342;2022-06-30;2022_09;TIMP;OI;4M
FPI16206;1335_2022;15;2022;ID1335;2022-06-12;2022_03;LWED;AR;4F
FPI16235;1339_2022;24;2022;ID1339;2022-06-20;2022_06;LWED;GP;4F
FPI16239;1344_2022;60;2022;ID1344;2022-07-04;2022_11;TIMP;YM;4M
FPI18847;1778_2022;79;2022;ID1778;2022-07-11;2022_13;LWED;S7;4M
FPI18878;1343_2022;67;2022;ID1343;2022-07-04;2022_11;TIMP;YM;4F
FPI21278;2738_2023;20884;2023;ID2738;2023-07-01;2023_12;LWED;WF;WBY
FPI21482;2275_2023;17881;2023;ID2275;2023-06-20;2023_09;TIMP;JI;JI_4M_2023
FPI21500;2273_2023;17913;2023;ID2273;2023-06-05;2023_01;LWED;GD;GBR
FPI24074;3013_2023;20894;2023;ID3013;2023-07-17;2023_15;TIMP;QB;YBR
FPI24076;3089_2023;17873;2023;ID3089;2023-08-01;2023_22;TIMP;WI;WBR
FPI24079;3014_2023;17901;2023;ID3014;2023-07-17;2023_15;TIMP;QB;YPBl
FPI25431;2980_2023;17867;2023;ID2980;2023-07-16;2023_14;LWED;SS;SPY
FPI25462;2941_2023;20888;2023;ID2941;2023-07-12;2023_13;LWED;AR;OPS
FPI25813;2300_2023;17962;2023;ID2300;2023-06-10;2023_02;TIMP;IC;GBS
FPI25824;3017_2023;17957;2023;ID3017;2023-07-21;2023_16;TIMP;MI;LPG
NA;1345_2022;61;2022;ID1345;2022-07-07;2022_12;LWED;WF;4M
NA;3061_2023;17888;2023;ID3061;2023-07-29;2023_20;LWED;IL;YBS
NA;3555_2024;32207;2024;ID3555;2024-07-16;2024_15;LWED;SS;LWED_2024_WF_5F
FPI029036;1781_2024;32141;2024;ID1781;2024-06-19;2024_08;LWED;WF;WPS/WRC
FPI038265;3058_2024;32179;2024;ID3058;2024-06-24;2024_12;TIMP;YM;BlPS / SI_0F_23
FPI038347;230_2024;32224;2024;ID0230;2024-06-13;2024_05;TIMP;IC;LPG
FPI038466;1340_2024;32158;2024;ID1340;2024-06-11;2024_04;TIMP;JI;RPS
FPI038768;276_2024;32184;2024;ID0276;2024-06-20;2024_09;LWED;SS;LPG2
FPI038774;3532_2024;32149;2024;ID3532;2024-06-14;2024_06;LWED;GP;LPG3
FPI038801;3533_2024;32249;2024;ID3533;2024-06-05;2024_01;LWED;IL;YPR
FPI14652;276_2022;30;2022;ID0276;2022-06-14;2022_04;LWED;SS;LPG2
FPI14654;135_2022;22;2022;ID0135;2022-06-19;2022_05;TIMP;MI;LPY/LRC
FPI14702;538_2022;35;2022;ID0538;2022-06-20;2022_06;LWED;GP;LPW3
FPI14706;2276_2022;13;2022;ID2276;2022-06-07;2022_02;LWED;GD;0F
FPI14707;549_2022;5;2022;ID0549;2022-06-12;2022_03;LWED;AR;SF1_0F
FPI14709;1340_2022;25;2022;ID1340;2022-06-22;2022_07;TIMP;JI;RC
FPI16202;536_2022;3;2022;ID0536;2022-06-04;2022_01;LWED;IL;YPS2
FPI16204;221_2022;53;2022;ID0221;2022-06-30;2022_09;TIMP;OI;OPY2
FPI18812;547_2022;78;2022;ID0547;2022-07-11;2022_13;LWED;S7;YPL2
FPI18906;230_2022;50;2022;ID0230;2022-06-24;2022_08;TIMP;IC;LPG
FPI18941;542_2022;63;2022;ID0542;2022-07-07;2022_12;LWED;WF;WPBI
FPI21035;2942_2023;20882;2023;ID2942;2023-07-12;2023_13;LWED;AR;ORC
FPI21481;293_2023;17911;2023;ID0293;2023-07-17;2023_15;TIMP;QB;YRC
FPI25046;2311_2023;20903;2023;ID2311;2023-06-12;2023_04;LWED;GP;LRC
FPI25052;276_2023;17965;2023;ID0276;2023-07-25;2023_18;LWED;SS;SRC/LPG2
FPI25057;212_2023;17857;2023;ID0212;2023-08-01;2023_22;TIMP;WI;WPL
FPI25419;1781_2023;17902;2023;ID1781;2023-07-01;2023_12;LWED;WF;WPS
